0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:20 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:20 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:22 +0800] "GET /atcrowdfunding02-admin-webui/assign/to/assign/role/page.html?adminId=245&pageNum=1&keyword= HTTP/1.1" 200 8469
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:22 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:22 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1618675282338 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "POST /atcrowdfunding02-admin-webui/assign/do/role/assgin.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=1&keyword= HTTP/1.1" 200 13436
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:27 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1618675287098 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=2&keyword= HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:33 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1618675293217 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=1&keyword= HTTP/1.1" 200 13436
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:01:34 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1618675294451 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:03:31 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=1&keyword= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:03:31 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/login/page.html HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:03:31 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [18/Apr/2021:00:03:31 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
